Version.[Version Name],Channel.[Channel],Account.[Account],PnL.[PnL],Demand Domain.[Demand Domain],Region.[Region],Location.[Location],Time.[Planning Month],Item.[Item],Actual
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M07-20,Loctite 248 19g Stick,445
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M08-20,Loctite 248 19g Stick,711
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M09-20,Loctite 248 19g Stick,462
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M10-20,Loctite 248 19g Stick,174
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M11-20,Loctite 248 19g Stick,179
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M12-20,Loctite 248 19g Stick,231
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M01-21,Loctite 248 19g Stick,126
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M02-21,Loctite 248 19g Stick,212
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M03-21,Loctite 248 19g Stick,231
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M04-21,Loctite 248 19g Stick,135
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M05-21,Loctite 248 19g Stick,182
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M06-21,Loctite 248 19g Stick,288
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M07-21,Loctite 248 19g Stick,431
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M08-21,Loctite 248 19g Stick,693
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M09-21,Loctite 248 19g Stick,473
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M10-21,Loctite 248 19g Stick,148
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M11-21,Loctite 248 19g Stick,188
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M12-21,Loctite 248 19g Stick,241
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M01-22,Loctite 248 19g Stick,228
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M02-22,Loctite 248 19g Stick,246
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M03-22,Loctite 248 19g Stick,209
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M04-22,Loctite 248 19g Stick,167
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M05-22,Loctite 248 19g Stick,175
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M06-22,Loctite 248 19g Stick,232
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M07-22,Loctite 248 19g Stick,540
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M08-22,Loctite 248 19g Stick,732
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M09-22,Loctite 248 19g Stick,627
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M10-22,Loctite 248 19g Stick,133
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M11-22,Loctite 248 19g Stick,153
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M12-22,Loctite 248 19g Stick,194
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M01-23,Loctite 248 19g Stick,209
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M02-23,Loctite 248 19g Stick,223
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M03-23,Loctite 248 19g Stick,333
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M04-23,Loctite 248 19g Stick,148
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M05-23,Loctite 248 19g Stick,187
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo1,DP,M06-23,Loctite 248 19g Stick,381
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M07-20,Loctite 248 19g Stick,306
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M08-20,Loctite 248 19g Stick,467
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M09-20,Loctite 248 19g Stick,299
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M10-20,Loctite 248 19g Stick,121
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M11-20,Loctite 248 19g Stick,121
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M12-20,Loctite 248 19g Stick,152
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M01-21,Loctite 248 19g Stick,85
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M02-21,Loctite 248 19g Stick,145
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M03-21,Loctite 248 19g Stick,147
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M04-21,Loctite 248 19g Stick,95
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M05-21,Loctite 248 19g Stick,120
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M06-21,Loctite 248 19g Stick,194
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M07-21,Loctite 248 19g Stick,278
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M08-21,Loctite 248 19g Stick,465
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M09-21,Loctite 248 19g Stick,324
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M10-21,Loctite 248 19g Stick,102
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M11-21,Loctite 248 19g Stick,124
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M12-21,Loctite 248 19g Stick,161
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M01-22,Loctite 248 19g Stick,150
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M02-22,Loctite 248 19g Stick,164
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M03-22,Loctite 248 19g Stick,140
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M04-22,Loctite 248 19g Stick,112
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M05-22,Loctite 248 19g Stick,111
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M06-22,Loctite 248 19g Stick,155
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M07-22,Loctite 248 19g Stick,353
CurrentWorkingView,B2B,AMO,DP,DP,ShipTo7,DP,M08-22,Loctite 248 19g Stick,482
